agegroup,sex,mean.rr,ci.rr
30-34,1,0.595531134,0.9387959986
35-39,1,0.520330116,0.78733487332
40-44,1,0.520330116,0.78733487332
45-49,1,0.444880128,0.63556375932
50-54,1,0.444880128,0.63556375932
55-59,1,0.368680283,0.4829137282
60-64,1,0.368680283,0.4829137282
65-69,1,0.287150631,0.323438659
70-74,1,0.287150631,0.323438659
75-79,1,0.2311117,0.2468601
80-84,1,0.2311117,0.2468601
30-34,2,0.595531134,0.9387959986
35-39,2,0.520330116,0.78733487332
40-44,2,0.520330116,0.78733487332
45-49,2,0.444880128,0.63556375932
50-54,2,0.444880128,0.63556375932
55-59,2,0.368680283,0.4829137282
60-64,2,0.368680283,0.4829137282
65-69,2,0.287150631,0.323438659
70-74,2,0.287150631,0.323438659
75-79,2,0.2311117,0.2468601
80-84,2,0.2311117,0.2468601
