sex,age,mu
men,20,0.0930570997157932
women,20,0.0826245124965178
men,21,0.0935903014194024
women,21,0.0828974691457929
men,22,0.0941292588884829
women,22,0.0831710064130959
men,23,0.0946754008861476
women,23,0.0834449535526509
men,24,0.095228441521309
women,24,0.0837189012140928
men,25,0.0957856622225269
women,25,0.0839921068404558
men,26,0.0963441065893709
women,26,0.084263794935774
men,27,0.0968995973184112
women,27,0.0845331153329613
men,28,0.0974445301439104
women,28,0.0847990191170362
men,29,0.09797055449325
women,29,0.0850604122325902
men,30,0.0984691660881774
women,30,0.0853162081856367
men,31,0.098931694853222
women,31,0.0855654296390785
men,32,0.0993493505447069
women,32,0.0858071376751044
men,33,0.0997135355449971
women,33,0.0860404469431687
men,34,0.100019901311593
women,34,0.0862654376383632
men,35,0.10026759069771
women,35,0.086482975349217
men,36,0.100455949176557
women,36,0.0866939664512726
men,37,0.100585509006834
women,37,0.0868998758971871
men,38,0.100658658841764
women,38,0.0871030656807501
men,39,0.100678039787791
women,39,0.0873059983504082
men,40,0.100645741397631
women,40,0.0875111999968449
men,41,0.100561784624216
women,41,0.087721362657677
men,42,0.10042580979765
women,42,0.0879392326961827
men,43,0.100237764151386
women,43,0.0881673790345587
men,44,0.0999994337414948
women,44,0.0884068520989267
men,45,0.0997134677156155
women,45,0.0886580056857078
men,46,0.0993825985091408
women,46,0.0889211466598882
men,47,0.0990103908850344
women,47,0.0891955732531684
men,48,0.0986011608201807
women,48,0.0894796324256414
men,49,0.0981592325963473
women,49,0.0897716166452102
men,50,0.0976886063864197
women,50,0.0900696363284032
men,51,0.0971926993738925
women,51,0.0903714738917086
men,52,0.0966748337307735
women,52,0.0906748514240138
men,53,0.0961386380057436
women,53,0.0909775193638372
men,54,0.095589069751341
women,54,0.0912774257838784
men,55,0.0950313417233552
women,55,0.0915725511375648
men,56,0.0944706658710721
women,56,0.0918608974119907
men,57,0.0939130595854269
women,57,0.0921408485075875
men,58,0.0933648994024198
women,58,0.0924109893210616
men,59,0.0928324189161242
women,59,0.092669904418824
men,60,0.0923213504572839
women,60,0.0929164070958339
men,61,0.0918369165268563
women,61,0.0931495617897241
men,62,0.0913842231280244
women,62,0.0933684427214067
men,63,0.0909665062380231
women,63,0.093572039070052
men,64,0.090583066037243
women,64,0.0937591562541808
men,65,0.0902327277033595
women,65,0.0939285751631172
men,66,0.0899140949728729
women,66,0.0940793644318242
men,67,0.0896245640701498
women,67,0.0942119546256056
men,68,0.0893612157029821
women,68,0.0943271901403113
men,69,0.0891212537685637
women,69,0.0944260187532708
men,70,0.0889027317976233
women,70,0.0945104022463054
men,71,0.0887042349783479
women,71,0.0945829397256924
men,72,0.088524388158924
women,72,0.0946462466605809
men,73,0.0883621613439436
women,73,0.0947027716370209
men,74,0.0882169445800604
women,74,0.0947547506680027
men,75,0.0880881644995472
women,75,0.0948044101801727
men,76,0.0879749051350496
women,76,0.0948535222095809
men,77,0.0878753590827189
women,77,0.0949026886568437
men,78,0.087787590319867
women,78,0.0949523276419499
men,79,0.0877096664584072
women,79,0.0950027811735021
men,80,0.0876396199291492
women,80,0.0950539602419951
men,81,0.0875754754803048
women,81,0.095105625146536
men,82,0.0875153067872946
women,82,0.0951575434565493
men,83,0.0874577705193698
women,83,0.0952095897811794
men,84,0.0874019439216074
women,84,0.0952617161952517
